subset,family,notebook_status,notebook_mIoU,unified_mIoU,refined_mIoU,delta_nb_vs_unified,elapsed_s
1-1,staggered,ok,0.389,0.787,0.787,-0.398,321.4
1-2,staggered,ok,0.176,0.821,0.821,-0.645,310.3
1-3,staggered,ok,0.249,0.779,0.779,-0.53,306.5
1-4,staggered,ok,0.137,0.556,0.786,-0.419,257.4
1-5,staggered,ok,0.439,0.549,0.782,-0.11,361.4
2-2,staggered,ok,0.446,0.673,0.668,-0.227,307.4
2-3,staggered,ok,0.41,0.8,0.8,-0.39,309.9
2-4,staggered,ok,0.483,0.835,0.835,-0.352,306.8
2-5,staggered,ok,0.406,0.886,0.886,-0.48,296.0
3-2,continuous,ok,0.152,0.631,0.719,-0.479,179.8
3-3,continuous,ok,0.34,0.808,0.808,-0.468,221.1
3-4,continuous,ok,0.264,0.622,0.631,-0.358,193.0
3-5,continuous,ok,0.862,0.588,0.588,0.274,203.2
3-6,continuous,ok,0.89,0.836,0.836,0.054,206.7
3-7,continuous,ok,0.887,0.845,0.845,0.042,193.0
3-8,continuous,ok,0.463,0.723,0.723,-0.26,205.7
3-9,continuous,ok,0.353,0.82,0.82,-0.467,202.5
3-10,continuous,ok,0.888,0.853,0.853,0.035,205.0
4-1,complex,ok,0.635,0.635,0.659,0.0,274.9
4-2,complex,ok,0.24,0.734,0.734,-0.494,281.3
4-3,complex,ok,0.104,0.516,0.544,-0.412,210.9
4-4,complex,ok,0.8,0.347,0.7,0.453,276.5
4-5,complex,ok,0.786,0.75,0.75,0.036,283.2
5-2,complex,ok,0.233,0.793,0.793,-0.56,283.5
5-3,complex,ok,0.737,0.762,0.762,-0.025,282.9
5-4,complex,ok,0.172,0.76,0.76,-0.588,275.0
5-5,complex,ok,0.379,0.775,0.775,-0.396,282.9
