case,family,trial_id,acquisition,mIoU,source_root,output_dir,denoise_retained_ratio,depth_nan_ratio,depth_outlier_ratio,det_midpoint_ratio,det_real_detection_ratio,det_fallback_ratio,det_x_spacing_cv,det_y_std,det_ring_count_error,det_n_points,sam_fill_rate,sam_ring_completeness,sam_segment_size_cv,sam_ontology_divergence,orient_invariant_ok,orient_h_ring_corr,overlay_json
1-1,t1&2,1-1-t000,anchor_from_frozen_stage1,0.787,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t000,0.7531270323506135,0.10736613189903915,0.0032266563656320134,0.5,0.7,0.3,0.35355339059327384,581.0439120636855,0.0,10.0,0.7229494457484911,0.8888888888888888,1.2876045298188923,0.21232044530496946,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.33, ""mask_r_high"": 2.78, ""z_step"": 0.005, ""grad_threshold"": 0.15}, ""enhancing"": {""curvature_threshold"": 0.005, ""inter_radius"": 0.03}, ""detecting"": {""binary_threshold"": 125, ""hough_threshold_oblique"": 65, ""hough_threshold_horizontal"": 65, ""hough_threshold_vertical"": 600, ""maxLineGap_oblique"": 45}, ""sam"": {""processing.y_bounds"": [3800, 13300]}}"
1-1,t1&2,1-1-t001,sobol_init,0.664,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t001,0.7734777661491163,0.10368376358265585,0.0036534214313302896,0.4,0.7,0.3,3.773771716607962e-16,362.25342469960685,0.0,10.0,0.7417660951796144,0.8888888888888888,1.2207163858969003,0.19522540027020668,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.45517564015463, ""mask_r_high"": 2.88627320099622, ""z_step"": 0.0035390231320634484, ""grad_threshold"": 0.1546825240366161}, ""enhancing"": {""curvature_threshold"": 0.0013775800959207117, ""inter_radius"": 0.05364215262234211}, ""detecting"": {""binary_threshold"": 125, ""hough_threshold_oblique"": 59, ""hough_threshold_horizontal"": 49, ""hough_threshold_vertical"": 746, ""maxLineGap_oblique"": 73}, ""sam"": {""processing.y_bounds"": [4396, 13300]}}"
1-1,t1&2,1-1-t002,sobol_init,0.035,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t002,0.07104812502528284,0.8218849962141941,0.00249225688943236,0.0,0.5,0.5,0.5773502691896258,386.65627925546374,0.0,10.0,0.06161957404524252,1.0,1.3549408548633648,0.30554760662323743,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.2765596207231287, ""mask_r_high"": 2.7311800641939046, ""z_step"": 0.006841400215402246, ""grad_threshold"": 0.18567917034961284}, ""enhancing"": {""curvature_threshold"": 0.004459666217677296, ""inter_radius"": 0.02277838118374348}, ""detecting"": {""binary_threshold"": 134, ""hough_threshold_oblique"": 72, ""hough_threshold_horizontal"": 77, ""hough_threshold_vertical"": 571, ""maxLineGap_oblique"": 49}, ""sam"": {""processing.y_bounds"": [3720, 13300]}}"
1-1,t1&2,1-1-t003,sobol_init,0.75,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t003,0.7839829767460194,0.10902467772402911,0.0035322610099795086,0.5,0.7,0.3,3.773771716607962e-16,362.574447835166,0.0,10.0,0.7450557155793062,0.8888888888888888,1.2625242689147917,0.20275519755126548,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.2222440198063853, ""mask_r_high"": 2.8110807690769435, ""z_step"": 0.0022293442171067, ""grad_threshold"": 0.1312364768702537}, ""enhancing"": {""curvature_threshold"": 0.006827425985690206, ""inter_radius"": 0.04481460371986032}, ""detecting"": {""binary_threshold"": 110, ""hough_threshold_oblique"": 90, ""hough_threshold_horizontal"": 83, ""hough_threshold_vertical"": 482, ""maxLineGap_oblique"": 33}, ""sam"": {""processing.y_bounds"": [3947, 13300]}}"
1-1,t1&2,1-1-t004,sobol_init,0.179,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t004,0.49514051030346656,0.22564649889322747,0.002221603888993654,0.0,0.6,0.4,0.4999999999999998,860.5889841049033,0.0,10.0,0.4795056078614822,0.8888888888888888,1.396258119700449,0.21383639635897966,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.361792198661715, ""mask_r_high"": 2.75598725900054, ""z_step"": 0.005526957769878209, ""grad_threshold"": 0.24657028587535024}, ""enhancing"": {""curvature_threshold"": 0.0036871880888938906, ""inter_radius"": 0.07570858756080269}, ""detecting"": {""binary_threshold"": 150, ""hough_threshold_oblique"": 52, ""hough_threshold_horizontal"": 55, ""hough_threshold_vertical"": 607, ""maxLineGap_oblique"": 61}, ""sam"": {""processing.y_bounds"": [4174, 13300]}}"
1-1,t1&2,1-1-t005,sobol_init,0.782,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t005,0.7754251923828925,0.09712444543047942,0.004356741442990043,0.4,0.7,0.3,3.773771716607962e-16,362.49976037641926,0.0,10.0,0.7386092420544491,0.8888888888888888,1.2774397422086348,0.21922899042440447,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.419744651205838, ""mask_r_high"": 2.825080943107605, ""z_step"": 0.007396514045074582, ""grad_threshold"": 0.22198562268167735}, ""enhancing"": {""curvature_threshold"": 0.002779248477704823, ""inter_radius"": 0.06255593286827206}, ""detecting"": {""binary_threshold"": 106, ""hough_threshold_oblique"": 84, ""hough_threshold_horizontal"": 84, ""hough_threshold_vertical"": 525, ""maxLineGap_oblique"": 21}, ""sam"": {""processing.y_bounds"": [4044, 13300]}}"
1-1,t1&2,1-1-t006,sobol_init,0.748,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t006,0.7776780870725127,0.10957753178464513,0.003319356189668633,0.4,0.6,0.4,0.33333333333333326,362.0999580793365,0.0,10.0,0.7439526062319713,0.8888888888888888,1.2527238925008704,0.1997786885226855,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.241495129372925, ""mask_r_high"": 2.782512139901519, ""z_step"": 0.003641038932837546, ""grad_threshold"": 0.11837163656018675}, ""enhancing"": {""curvature_threshold"": 0.007878470872808248, ""inter_radius"": 0.03166280733421445}, ""detecting"": {""binary_threshold"": 154, ""hough_threshold_oblique"": 46, ""hough_threshold_horizontal"": 63, ""hough_threshold_vertical"": 751, ""maxLineGap_oblique"": 57}, ""sam"": {""processing.y_bounds"": [3866, 13300]}}"
1-1,t1&2,1-1-t007,sobol_init,0.787,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t007,0.7651232816751081,0.10911491417067626,0.00372997532848834,0.4,0.8,0.2,0.3061862178478974,490.9876761020948,0.0,10.0,0.7234618444486165,0.8888888888888888,1.3092134531831976,0.2145218519790284,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.3321623134426774, ""mask_r_high"": 2.85027605202049, ""z_step"": 0.005204479751177132, ""grad_threshold"": 0.2079133595805615}, ""enhancing"": {""curvature_threshold"": 0.005375006375834346, ""inter_radius"": 0.03968059375882149}, ""detecting"": {""binary_threshold"": 122, ""hough_threshold_oblique"": 53, ""hough_threshold_horizontal"": 45, ""hough_threshold_vertical"": 690, ""maxLineGap_oblique"": 69}, ""sam"": {""processing.y_bounds"": [3689, 13300]}}"
1-1,t1&2,1-1-t008,sobol_init,0.041,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t008,0.026083064600614256,0.9059733419282271,0.0014880704145804986,0.0,0.2,0.8,0.0,32.575000000000045,0.0,10.0,0.021670627211275263,1.0,1.1608357602835355,0.22808424075625228,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.4720764165744185, ""mask_r_high"": 2.707706845737994, ""z_step"": 0.0014571928139775992, ""grad_threshold"": 0.16988896802067757}, ""enhancing"": {""curvature_threshold"": 0.0003341702821664512, ""inter_radius"": 0.07054533794522286}, ""detecting"": {""binary_threshold"": 138, ""hough_threshold_oblique"": 65, ""hough_threshold_horizontal"": 66, ""hough_threshold_vertical"": 416, ""maxLineGap_oblique"": 38}, ""sam"": {""processing.y_bounds"": [4214, 13300]}}"
1-1,t1&2,1-1-t009,sobol_init,0.806,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t009,0.7636166842825329,0.10206517203649904,0.0036687361407061842,0.5,0.7,0.3,3.773771716607962e-16,362.4562204811158,0.0,10.0,0.7315497571292396,0.8888888888888888,1.2872516697962129,0.22374100005387915,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.489334952738136, ""mask_r_high"": 2.820059554837644, ""z_step"": 0.004794356312602758, ""grad_threshold"": 0.10205436409451069}, ""enhancing"": {""curvature_threshold"": 0.004945053417049349, ""inter_radius"": 0.07976352035999298}, ""detecting"": {""binary_threshold"": 101, ""hough_threshold_oblique"": 78, ""hough_threshold_horizontal"": 89, ""hough_threshold_vertical"": 626, ""maxLineGap_oblique"": 41}, ""sam"": {""processing.y_bounds"": [4326, 13300]}}"
