label,group,mode,n_features,n_train,train_mae,train_spearman,holdout_n,holdout_mae,holdout_spearman,holdout_mae_anchor,holdout_mae_anchor_continuous,holdout_mae_anchor_staggered,holdout_mae_anchor_complex,holdout_rank_ok,holdout_rank_total,holdout_rank_acc,holdout_alarm_precision,holdout_alarm_recall,holdout_alarm_tp,holdout_alarm_fp,holdout_alarm_fn,perm_pass,features
A_v1_features_refit,regime,pooled,5,63,0.12046339000752264,0.8503354824088595,54,0.09370560325459903,0.7194113271729812,0.13023601302454085,0.22211739016854284,0.09367557509719565,0.07491507380788406,27,27,1.0,1.0,1.0,27,0,0,True,"depth_nan_ratio,denoise_retained_ratio,det_real_detection_ratio,sam_fill_rate,sam_ontology_divergence"
A_v2_lean_refit,regime,pooled,5,63,0.12187514802073235,0.8294445266119028,54,0.09364891316971534,0.8080604333674469,0.10318869655962472,0.10809736496123293,0.1023270417124992,0.099141683005142,27,27,1.0,1.0,1.0,27,0,0,True,"sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,depth_nan_ratio"
A_frozen_v1,regime,frozen,5,108,0.10023103663240811,0.8188903260035982,54,0.11257523504218722,0.7191825552860276,0.16071544919951594,0.31235808200941295,0.09587454401615925,0.07391372157297571,27,27,1.0,0.8709677419354839,0.9642857142857143,27,4,1,,"depth_nan_ratio,denoise_retained_ratio,det_real_detection_ratio,sam_fill_rate,sam_ontology_divergence"
A_frozen_v2,regime,frozen,5,63,0.12187514802073235,0.8294445266119028,54,0.09364891316971534,0.8080604333674469,0.10318869655962472,0.10809736496123293,0.1023270417124992,0.099141683005142,27,27,1.0,1.0,1.0,27,0,0,,"sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,depth_nan_ratio"
B_pooled,architecture,pooled,5,63,0.12187514802073235,0.8294445266119028,54,0.09364891316971534,0.8080604333674469,0.10318869655962472,0.10809736496123293,0.1023270417124992,0.099141683005142,27,27,1.0,1.0,1.0,27,0,0,True,"sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,depth_nan_ratio"
B_per_family,architecture,per_family,5,63,0.07661048355567908,,54,0.0905013117835716,0.8070309598761564,0.0874150041104225,0.06414107617173687,0.10029208231649965,0.09781185384303094,27,27,1.0,1.0,0.8285714285714286,29,0,6,,"sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,depth_nan_ratio"
B_pooled_onehot,architecture,pooled_oh,8,63,0.1204806443212666,0.8618752722910822,54,0.08076174515344263,0.8082129479587492,0.09335881071625395,0.09917948216322363,0.08403079027050614,0.09686615971503208,27,27,1.0,1.0,1.0,27,0,0,,"sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,depth_nan_ratio,fam_staggered,fam_continuous,fam_complex"
C_Evidence,blocks,pooled,2,63,0.1502754492314125,0.750351086151367,54,0.07165532695160991,0.7684828969244983,0.10882121386402656,0.10476126892803635,0.11813305590912239,0.10356931675492095,27,27,1.0,1.0,1.0,27,0,0,,"depth_nan_ratio,denoise_retained_ratio"
C_Coherence,blocks,pooled,6,63,0.12250899421187436,0.814729465841113,54,0.09679651402206965,0.7887673375677051,0.09295394472217934,0.08792554632774584,0.1049822970782815,0.08595399076051072,27,27,1.0,1.0,1.0,27,0,0,,"sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,det_row_y_std,phase_incoherence_deg"
C_Evidence+Coherence,blocks,pooled,8,63,0.1228438020970536,0.8165538453167738,54,0.099671817953268,0.7970031254980297,0.09651141235437796,0.10099462391203966,0.10267892154052805,0.08586069161056613,27,27,1.0,1.0,1.0,27,0,0,True,"depth_nan_ratio,denoise_retained_ratio,sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,det_row_y_std,phase_incoherence_deg"
D_lean5,leanness,pooled,5,63,0.12187514802073235,0.8294445266119028,54,0.09364891316971534,0.8080604333674469,0.10318869655962472,0.10809736496123293,0.1023270417124992,0.099141683005142,27,27,1.0,1.0,1.0,27,0,0,True,"sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,depth_nan_ratio"
D_candidate8,leanness,pooled,8,63,0.1228438020970536,0.8165538453167738,54,0.099671817953268,0.7970031254980297,0.09651141235437796,0.10099462391203966,0.10267892154052805,0.08586069161056613,27,27,1.0,1.0,1.0,27,0,0,,"depth_nan_ratio,denoise_retained_ratio,sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,det_row_y_std,phase_incoherence_deg"
D_tier1_gate17,leanness,pooled,17,63,0.08850688068592004,0.906500554465467,54,0.09117314718934112,0.7799596199199968,0.11508340955081803,0.10724584801500198,0.12975084665652373,0.10825353398092837,27,27,1.0,1.0,1.0,27,0,0,True,"denoise_retained_ratio,depth_nan_ratio,depth_outlier_ratio,det_midpoint_ratio,det_real_detection_ratio,det_fallback_ratio,det_x_spacing_cv,det_y_std,det_ring_count_error,det_n_points,sam_fill_rate,sam_ring_completeness,sam_segment_size_cv,sam_ontology_divergence,det_row_residual_px,det_row_gated,det_row_y_std"
D_loo_sam_fill_rate,leanness_loo,pooled,4,63,0.1451383345958004,0.7867636488786824,54,0.08943127001340562,0.8153048764543065,0.10270351085028367,0.08753316676001059,0.10906946335239497,0.11150790243844552,27,27,1.0,1.0,1.0,27,0,0,,"sam_ontology_divergence,det_row_residual_px,det_row_gated,depth_nan_ratio"
D_loo_sam_ontology_divergence,leanness_loo,pooled,4,63,0.12364917319931,0.813313171248166,54,0.0634858797023622,0.8256377400150378,0.10032494415465955,0.09631356986712737,0.11191973576238569,0.09274152683446556,27,27,1.0,1.0,1.0,27,0,0,,"sam_fill_rate,det_row_residual_px,det_row_gated,depth_nan_ratio"
D_loo_det_row_residual_px,leanness_loo,pooled,4,63,0.13500596931773096,0.7860915090718601,54,0.09261879728481671,0.7883097937937982,0.10447092650719784,0.11517006892070178,0.1025746507665617,0.09566805983433006,27,27,1.0,0.9310344827586207,1.0,27,2,0,,"sam_fill_rate,sam_ontology_divergence,det_row_gated,depth_nan_ratio"
D_loo_det_row_gated,leanness_loo,pooled,4,63,0.1333492291453226,0.7810024505344908,54,0.08977418793951875,0.7859076889807868,0.10400577680087746,0.12263994278786372,0.09575897067952968,0.093618416935239,27,27,1.0,1.0,1.0,27,0,0,,"sam_fill_rate,sam_ontology_divergence,det_row_residual_px,depth_nan_ratio"
