subset,family,refined,arm,anchor_proxy_scaled,anchor_mIoU,selected_round,selected_proxy_scaled,selected_mIoU,delta_proxy_scaled,delta_mIoU,crossed_accept
1-1,staggered,False,,0.6848,0.787,,0.6848,0.787,0.0,0.0,False
1-2,staggered,False,,0.6807,0.821,,0.6807,0.821,0.0,0.0,False
1-3,staggered,False,,0.6832,0.779,,0.6832,0.779,0.0,0.0,False
1-4,staggered,True,cursor2,0.6608,0.556,round2,0.6708,0.786,0.01,0.23,False
1-5,staggered,True,cursor2,0.6745,0.549,round3,0.6848,0.782,0.0103,0.233,False
2-2,staggered,True,cursor3,0.6923,0.673,round2,0.7029,0.668,0.0106,-0.005,True
2-3,staggered,False,,0.706,0.8,,0.706,0.8,0.0,0.0,False
2-4,staggered,False,,0.6992,0.835,,0.6992,0.835,0.0,0.0,False
2-5,staggered,False,,0.6679,0.886,,0.6679,0.886,0.0,0.0,False
3-10,continuous,False,,0.9027,0.853,,0.9027,0.853,0.0,0.0,False
3-2,continuous,True,cursor3,0.5999,0.631,round2,0.775,0.719,0.1751,0.088,True
3-3,continuous,False,,0.9218,0.808,,0.9218,0.808,0.0,0.0,False
3-4,continuous,True,cursor3,0.5737,0.622,round1,0.5965,0.631,0.0228,0.009,False
3-5,continuous,True,cursor2,0.6195,0.588,anchor,0.6195,0.588,0.0,0.0,False
3-6,continuous,False,,0.878,0.836,,0.878,0.836,0.0,0.0,False
3-7,continuous,False,,0.9117,0.845,,0.9117,0.845,0.0,0.0,False
3-8,continuous,False,,0.6652,0.723,,0.6652,0.723,0.0,0.0,False
3-9,continuous,False,,0.9767,0.82,,0.9767,0.82,0.0,0.0,False
4-1,complex,True,cursor3,0.6516,0.635,round3,0.6623,0.659,0.0107,0.024,False
4-2,complex,False,,0.654,0.734,,0.654,0.734,0.0,0.0,False
4-3,complex,True,cursor2_s1,0.6296,0.516,round2,0.6402,0.544,0.0106,0.028,False
4-4,complex,True,cursor2,0.6225,0.347,round3,0.6247,0.7,0.0022,0.353,False
4-5,complex,False,,0.6532,0.75,,0.6532,0.75,0.0,0.0,False
5-2,complex,False,,0.668,0.793,,0.668,0.793,0.0,0.0,False
5-3,complex,False,,0.6576,0.762,,0.6576,0.762,0.0,0.0,False
5-4,complex,False,,0.6673,0.76,,0.6673,0.76,0.0,0.0,False
5-5,complex,False,,0.6702,0.775,,0.6702,0.775,0.0,0.0,False
