subset,arm,round,proxy,r_ctr,eligible,mIoU,selected,reason
1-4,cursor2,round1,0.6688,1.9,True,0.554,False,
1-4,cursor2,round2,0.6708,1.9,True,0.786,True,best proxy 0.6708; 2 within 0.01 margin; residual tiebreak -> round2
1-4,cursor2,round3,0.6604,1.9,False,0.596,False,
1-4,cursor2,anchor,0.6608,1.9,False,0.556,False,
1-5,cursor2,round1,0.677,2.5,True,0.56,False,
1-5,cursor2,round2,0.6815,2.5,True,0.896,False,
1-5,cursor2,round3,0.6848,2.5,True,0.782,True,best proxy 0.6848; 3 within 0.01 margin; residual tiebreak -> round3
1-5,cursor2,anchor,0.6745,2.5,False,0.549,False,
2-2,cursor3,round1,0.6895,1.5,False,0.86,False,
2-2,cursor3,round2,0.7029,1.5,True,0.668,True,best proxy 0.7029; 1 within 0.01 margin; residual tiebreak -> round2
2-2,cursor3,round3,0.6901,1.5,False,0.687,False,
2-2,cursor3,anchor,0.6923,1.5,False,0.673,False,
3-2,cursor3,round1,0.6906,16.8,True,0.643,False,
3-2,cursor3,round2,0.775,5.4,True,0.719,True,best proxy 0.7750; 1 within 0.01 margin; residual tiebreak -> round2
3-2,cursor3,round3,0.5987,5.4,False,0.721,False,
3-2,cursor3,anchor,0.5999,16.8,False,0.631,False,
3-4,cursor3,round1,0.5965,20.8,True,0.631,True,best proxy 0.5965; 1 within 0.01 margin; residual tiebreak -> round1
3-4,cursor3,round2,0.5512,22.8,False,0.605,False,
3-4,cursor3,round3,0.3951,23.2,False,0.571,False,
3-4,cursor3,anchor,0.5737,20.8,False,0.622,False,
3-5,cursor2,round1,0.4307,56.6,False,0.576,False,
3-5,cursor2,round2,0.4824,56.6,False,0.597,False,
3-5,cursor2,round3,0.4093,56.6,False,0.628,False,
3-5,cursor2,anchor,0.6195,56.6,False,0.588,True,monotone accept: no round beat anchor
4-1,cursor3,round1,0.657,2.4,True,0.655,False,
4-1,cursor3,round2,0.6556,2.4,True,0.657,False,
4-1,cursor3,round3,0.6623,2.4,True,0.659,True,best proxy 0.6623; 3 within 0.01 margin; residual tiebreak -> round3
4-1,cursor3,anchor,0.6516,2.4,False,0.635,False,
4-3,cursor2_s1,round1,0.6397,5.2,True,0.554,False,
4-3,cursor2_s1,round2,0.6402,5.2,True,0.544,True,best proxy 0.6428; 3 within 0.01 margin; residual tiebreak -> round2
4-3,cursor2_s1,round3,0.6428,9.7,True,0.544,False,
4-3,cursor2_s1,anchor,0.6296,23.2,False,0.516,False,
4-4,cursor2,round1,0.6232,35.0,True,0.697,False,
4-4,cursor2,round2,0.6231,35.0,True,0.697,False,
4-4,cursor2,round3,0.6247,35.0,True,0.7,True,best proxy 0.6247; 3 within 0.01 margin; residual tiebreak -> round3
4-4,cursor2,anchor,0.6225,35.0,False,0.347,False,
