source,case,family,trial_id,mIoU,stage1_varied,acquisition,path,depth_nan_ratio,denoise_retained_ratio,unfold_residual,orient_agreement,sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,det_row_y_std,phase_incoherence_deg
bo-bayes,2-1,staggered,2-1-s000,0.41,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s000,0.11098444046834574,0.7920642843708081,1.3609765531356006,0.999893685647656,0.6833790115725096,0.2076166812977479,0.0,0.0,30.54180383523123,4.2
bo-bayes,2-1,staggered,2-1-s001,0.403,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s001,0.25090719992765953,0.5412308115224909,1.2237754316221157,0.9998909495436624,0.5125470475529071,0.3526988063553512,0.0,0.0,43.17405996268028,10.0
bo-bayes,2-1,staggered,2-1-s002,0.035,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s002,0.8330122437006289,0.06259572278062664,1.252762968495368,0.9998894330508498,0.05402071849183269,0.2137691903008274,0.0,0.0,155.81147630828931,13.8
bo-bayes,2-1,staggered,2-1-s003,0.482,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s003,0.10722831869507204,0.7822336452268307,1.2809338454620645,0.999890810642283,0.7109290871172897,0.20108699338975444,0.0,0.0,60.381342125042785,11.1
bo-bayes,2-1,staggered,2-1-s004,0.838,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s004,0.11307506303401035,0.7699041377043895,1.2237754316221157,0.9998900142454238,0.7337511548740334,0.22571374447099352,0.0,0.0,21.766103212269908,2.4
bo-bayes,2-1,staggered,2-1-s005,0.484,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s005,0.10400220694338341,0.7703433515426223,1.252762968495368,0.9998911514067504,0.731636727784564,0.22279593677321935,0.0,0.0,3.6670774470203495,2.8
bo-bayes,2-1,staggered,2-1-s006,0.036,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s006,0.8570026225762915,0.06247739340538507,1.2237754316221157,0.9998941040855761,0.04232781267374783,0.3195305760372414,0.0,0.0,354.40243583514183,19.1
bo-bayes,2-1,staggered,2-1-s007,0.523,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s007,0.10431013342572222,0.7853820333637166,1.252762968495368,0.9998903747095901,0.7343593368594453,0.21754241287336135,0.0,0.0,18.558043285056563,4.0
bo-bayes,2-1,staggered,2-1-s008,0.834,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s008,0.10963652385425998,0.7710615953486738,1.252762968495368,0.999888792434158,0.7352982210289385,0.22545177283284318,0.0,0.0,16.7405467318293,3.2
bo-bayes,2-1,staggered,2-1-s009,0.068,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s009,0.5191319668516317,0.3324848755422999,1.252762968495368,0.9998929333226233,0.18286435629853312,0.3208135415695328,0.0,0.0,333.7795844262319,10.2
bo-bayes,2-1,staggered,2-1-s010,0.387,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s010,0.13130852443389465,0.7045496352974976,1.308332819650179,0.9998939346741136,0.6104503957058321,0.2596952177801855,0.0,0.0,21.543159443689774,4.6
bo-bayes,2-1,staggered,2-1-s011,0.813,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s011,0.10102642498362088,0.783820498988258,1.252762968495368,0.9998914521014902,0.7495824884925975,0.22065319269742945,0.0,0.0,17.335463072611894,2.7
bo-bayes,2-1,staggered,2-1-s012,0.386,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s012,0.10389426663247704,0.782277566610654,1.2809338454620645,0.9998933337628252,0.6527900929893203,0.1432259530177808,0.0,0.0,65.09936031587598,17.9
bo-bayes,2-1,staggered,2-1-s013,0.033,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s013,0.8292102620629159,0.07667640171221056,1.252762968495368,0.9998880074594741,0.06364311860427144,0.14075469349203384,0.0,0.0,359.4156339032199,14.9
bo-bayes,2-1,staggered,2-1-s014,0.569,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s014,0.09786771279888128,0.7896186383750948,1.252762968495368,0.9998919050399646,0.7544029895477441,0.17997782614989177,0.0,0.0,93.91742113715826,6.7
bo-bayes,2-1,staggered,2-1-s015,0.488,True,sobol_init,data/bo-bayes/2-1-trials/runs/2-1-s015,0.11321970765352261,0.7777784667406613,1.2809338454620645,0.999887529993628,0.70991217790124,0.20943107917551024,0.0,0.0,58.15004583927322,11.1
