run,gt_ring,n,dominant_shift,shift_frac,block_acc,rotated
1-2-anchor,55,14044,4,0.58,0.15,True
1-2-anchor,56,24377,1,0.89,0.37,True
1-2-anchor,57,42720,0,1.0,0.96,False
1-2-anchor,58,84556,0,1.0,0.96,False
1-2-anchor,59,173897,0,1.0,0.97,False
1-2-anchor,60,388951,0,1.0,0.96,False
1-2-anchor,61,322018,0,1.0,0.97,False
1-2-anchor,62,158253,0,1.0,0.97,False
1-2-anchor,63,77339,0,1.0,0.97,False
1-2-anchor,64,40167,0,1.0,0.96,False
1-3-anchor,125,20558,5,0.68,0.14,True
1-3-anchor,126,38402,0,1.0,0.96,False
1-3-anchor,127,71707,5,0.74,0.0,True
1-3-anchor,128,149978,0,1.0,0.97,False
1-3-anchor,129,322023,0,1.0,0.97,False
1-3-anchor,130,402107,0,1.0,0.96,False
1-3-anchor,131,183925,0,1.0,0.96,False
1-3-anchor,132,90141,0,1.0,0.97,False
1-3-anchor,133,45587,0,1.0,0.96,False
1-3-anchor,134,25291,5,0.61,0.01,True
1-4-anchor,197,59457,0,1.0,0.69,False
1-4-anchor,198,120242,0,1.0,0.96,False
1-4-anchor,199,254116,0,1.0,0.98,False
1-4-anchor,200,441201,0,1.0,0.98,False
1-4-anchor,201,218668,0,1.0,0.97,False
1-4-anchor,202,106611,0,1.0,0.96,False
1-4-anchor,203,53160,0,1.0,0.96,False
1-4-anchor,204,29302,4,0.58,0.0,True
1-4-anchor,205,17206,0,1.0,0.96,False
1-4-anchor,206,10288,0,1.0,0.95,False
1-5-anchor,264,11821,0,1.0,0.4,False
1-5-anchor,265,18521,0,0.97,0.82,False
1-5-anchor,266,31735,0,1.0,0.96,False
1-5-anchor,267,58037,0,1.0,0.98,False
1-5-anchor,268,115756,0,1.0,0.98,False
1-5-anchor,269,237314,0,1.0,0.96,False
1-5-anchor,270,499515,2,0.54,0.22,True
1-5-anchor,271,319453,0,0.52,0.42,False
1-5-anchor,272,155997,0,1.0,0.98,False
1-5-anchor,273,77356,0,1.0,0.97,False
2-2-anchor,135,22407,0,0.9,0.52,False
2-2-anchor,136,38982,0,1.0,0.97,False
2-2-anchor,137,75981,0,1.0,0.96,False
2-2-anchor,138,155853,0,1.0,0.97,False
2-2-anchor,139,331810,0,1.0,0.97,False
2-2-anchor,140,396799,0,1.0,0.97,False
2-2-anchor,141,183022,0,1.0,0.97,False
2-2-anchor,142,89968,0,1.0,0.98,False
2-2-anchor,143,47348,0,1.0,0.96,False
2-2-anchor,144,26251,0,1.0,0.95,False
2-3-anchor,215,22723,0,0.89,0.54,False
2-3-anchor,216,40606,0,1.0,0.96,False
2-3-anchor,217,77802,0,1.0,0.97,False
2-3-anchor,218,156303,0,1.0,0.98,False
2-3-anchor,219,334865,0,1.0,0.97,False
2-3-anchor,220,377345,0,1.0,0.97,False
2-3-anchor,221,170754,0,1.0,0.96,False
2-3-anchor,222,83220,0,1.0,0.97,False
2-3-anchor,223,43645,0,1.0,0.96,False
2-3-anchor,224,23956,0,1.0,0.96,False
2-4-anchor,296,31024,0,1.0,0.64,False
2-4-anchor,297,57886,0,1.0,0.96,False
2-4-anchor,298,118093,0,1.0,0.97,False
2-4-anchor,299,242357,0,1.0,0.97,False
2-4-anchor,300,442577,0,1.0,0.98,False
2-4-anchor,301,234850,0,1.0,0.97,False
2-4-anchor,302,114007,0,1.0,0.97,False
2-4-anchor,303,56741,0,1.0,0.96,False
2-4-anchor,304,30522,0,1.0,0.97,False
2-4-anchor,305,17927,0,1.0,0.96,False
2-5-anchor,353,9160,0,0.66,0.43,False
2-5-anchor,354,14350,0,1.0,0.96,False
2-5-anchor,355,24016,0,1.0,0.97,False
2-5-anchor,356,42127,0,1.0,0.98,False
2-5-anchor,357,81615,0,1.0,0.98,False
2-5-anchor,358,171678,0,1.0,0.97,False
2-5-anchor,359,376689,0,1.0,0.97,False
2-5-anchor,360,352416,0,1.0,0.97,False
2-5-anchor,361,171411,0,1.0,0.96,False
2-5-anchor,362,85687,0,1.0,0.96,False
3-1-2-anchor,46,27991,0,1.0,0.32,False
3-1-2-anchor,47,23723,0,1.0,0.6,False
3-1-2-anchor,48,20271,0,1.0,0.83,False
3-1-2-anchor,49,18555,0,1.0,0.92,False
3-1-2-anchor,50,16404,0,1.0,0.93,False
3-1-2-anchor,51,16120,0,1.0,0.93,False
3-1-2-anchor,52,16596,0,1.0,0.92,False
3-1-2-anchor,53,17735,0,1.0,0.92,False
3-1-2-anchor,54,19480,0,1.0,0.7,False
3-1-2-anchor,55,23049,0,1.0,0.25,False
3-1-3-anchor,77,27222,0,1.0,0.97,False
3-1-3-anchor,78,24391,0,1.0,0.97,False
3-1-3-anchor,79,21449,0,1.0,0.97,False
3-1-3-anchor,80,19741,0,1.0,0.97,False
3-1-3-anchor,81,19084,0,1.0,0.96,False
3-1-3-anchor,82,18324,0,1.0,0.96,False
3-1-3-anchor,83,18828,0,1.0,0.96,False
3-1-3-anchor,84,20701,0,1.0,0.95,False
3-1-3-anchor,85,22996,0,1.0,0.95,False
3-1-3-anchor,86,28716,2,0.45,0.52,False
3-3-anchor,77,27222,0,1.0,0.97,False
3-3-anchor,78,24391,0,1.0,0.97,False
3-3-anchor,79,21449,0,1.0,0.97,False
3-3-anchor,80,19741,0,1.0,0.97,False
3-3-anchor,81,19084,0,1.0,0.96,False
3-3-anchor,82,18324,0,1.0,0.96,False
3-3-anchor,83,18828,0,1.0,0.96,False
3-3-anchor,84,20701,0,1.0,0.95,False
3-3-anchor,85,22996,0,1.0,0.95,False
3-3-anchor,86,28716,2,0.45,0.52,False
3-4-anchor,57,11484,0,1.0,0.31,False
3-4-anchor,58,11962,0,1.0,0.41,False
3-4-anchor,59,12395,0,1.0,0.42,False
3-4-anchor,60,14331,0,1.0,0.64,False
3-4-anchor,61,15687,0,1.0,0.78,False
3-4-anchor,62,16488,0,1.0,0.89,False
3-4-anchor,63,19784,0,1.0,0.89,False
3-4-anchor,64,20658,0,1.0,0.9,False
3-4-anchor,65,21797,0,1.0,0.9,False
3-4-anchor,66,22984,0,1.0,0.19,False
3-5-anchor,97,23687,0,1.0,0.72,False
3-5-anchor,98,22612,0,1.0,0.81,False
3-5-anchor,99,21403,0,1.0,0.87,False
3-5-anchor,100,19693,0,1.0,0.95,False
3-5-anchor,101,17852,0,1.0,0.96,False
3-5-anchor,102,17514,0,1.0,0.96,False
3-5-anchor,103,15390,0,1.0,0.96,False
3-5-anchor,104,12611,0,1.0,0.96,False
3-5-anchor,105,11733,0,1.0,0.95,False
3-5-anchor,106,10765,0,0.56,0.5,False
4-10-anchor,390,14304,3,1.0,0.0,True
4-10-anchor,391,24312,4,0.73,0.0,True
4-10-anchor,392,46356,1,1.0,0.24,True
4-10-anchor,393,96334,0,1.0,0.9,False
4-10-anchor,394,220177,3,1.0,0.0,True
4-10-anchor,395,389270,0,1.0,0.63,False
4-10-anchor,396,304960,1,1.0,0.18,True
4-10-anchor,397,130332,5,1.0,0.0,True
4-2-anchor,140,16436,3,0.81,0.03,True
4-2-anchor,141,28439,4,0.67,0.0,True
4-2-anchor,142,53267,0,1.0,0.97,False
