label,n,mae,mae_anchor,mae_bad,spearman,rank_ok,rank_n,rank_acc,alarm_precision,alarm_recall,tp,fp,tn,fn,mode,feature_set,onehot,n_features,mae_std,rank_acc_std,n_repeats,seed,phase_or,recovered_fns,n_recovered_fns
per_family/B1,48,0.11387102029919456,0.1512028134562957,0.07653922714209345,0.7505973775115482,24.0,24.0,1.0,0.9629629629629629,0.9285714285714286,26.0,1.0,19.0,2.0,per_family,B1,False,7.0,,,,,,,
pooled/B1,48,0.11256567695443953,0.16371757763925635,0.06141377626962269,0.7706886044289522,24.0,24.0,1.0,0.92,0.9583333333333334,23.0,2.0,22.0,1.0,pooled,B1,False,7.0,,,,,,,
pooled+oh/B1,48,0.1120556014676599,0.15611436826553804,0.06799683466978175,0.709111708957774,24.0,24.0,1.0,1.0,1.0,24.0,0.0,24.0,0.0,pooled,B1,True,10.0,,,,,,,
per_family/B2lean,48,0.10077583196545879,0.17708550269212175,0.024466161238795855,0.7034644451755847,24.0,24.0,1.0,0.8,0.8571428571428571,24.0,6.0,14.0,4.0,per_family,B2lean,False,4.0,,,,,,,
pooled/B2lean,48,0.12075721743011714,0.16851637446572057,0.07299806039451369,0.7258905984644706,24.0,24.0,1.0,0.75,1.0,24.0,8.0,16.0,0.0,pooled,B2lean,False,4.0,,,,,,,
pooled+oh/B2lean,48,0.12176210937569154,0.1683726248178412,0.07515159393354186,0.7042789543749388,24.0,24.0,1.0,0.7741935483870968,1.0,24.0,7.0,17.0,0.0,pooled,B2lean,True,7.0,,,,,,,
per_family/B2,48,0.09153987897456178,0.16551860092825224,0.017561157020871337,0.7309405555004667,24.0,24.0,1.0,1.0,0.8571428571428571,24.0,0.0,20.0,4.0,per_family,B2,False,7.0,,,,,,,
pooled/B2,48,0.10874004435341873,0.17619665773185458,0.0412834309749829,0.7254561935581484,24.0,24.0,1.0,0.7741935483870968,1.0,24.0,7.0,17.0,0.0,pooled,B2,False,7.0,,,,,,,
pooled+oh/B2,48,0.11564304536774322,0.18204873740887942,0.04923735332660705,0.6904865985992077,24.0,24.0,1.0,0.96,1.0,24.0,1.0,23.0,0.0,pooled,B2,True,10.0,,,,,,,
per_family/B1+B2lean,48,0.1103485025970159,0.15458821936154124,0.06610878583249051,0.7194831260962176,24.0,24.0,1.0,1.0,0.8928571428571429,25.0,0.0,20.0,3.0,per_family,B1+B2lean,False,11.0,,,,,,,
pooled/B1+B2lean,48,0.12189117768524364,0.1740382654927131,0.06974408987777415,0.6926043225175286,24.0,24.0,1.0,0.8,1.0,24.0,6.0,18.0,0.0,pooled,B1+B2lean,False,11.0,,,,,,,
pooled+oh/B1+B2lean,48,0.12073571120178239,0.17503317888530837,0.06643824351825638,0.7006408132844901,24.0,24.0,1.0,0.8,1.0,24.0,6.0,18.0,0.0,pooled,B1+B2lean,True,14.0,,,,,,,
per_family/B1+B2,48,0.09715105918100608,0.14441753690624673,0.049884581455765444,0.7721547209877896,24.0,24.0,1.0,1.0,0.8571428571428571,24.0,0.0,20.0,4.0,per_family,B1+B2,False,14.0,,,,,,,
pooled/B1+B2,48,0.11401856447920607,0.17793590729361317,0.05010122166479902,0.7383797395212351,24.0,24.0,1.0,0.8,1.0,24.0,6.0,18.0,0.0,pooled,B1+B2,False,14.0,,,,,,,
pooled+oh/B1+B2,48,0.11271234253092825,0.17094632185411573,0.05447836320774078,0.7029757396559722,24.0,24.0,1.0,0.8571428571428571,1.0,24.0,4.0,20.0,0.0,pooled,B1+B2,True,17.0,,,,,,,
perm_control/per_family/B1+B2lean,20,0.35316275040800044,,,,,,0.4999999999999999,,,,,,,permutation,B1+B2lean,False,,0.013152133310177408,0.17480147469502524,20.0,0.0,,,
phase_base/per_family/B1+B2lean,48,0.1103485025970159,0.15458821936154124,0.06610878583249051,0.7194831260962176,24.0,24.0,1.0,1.0,0.8928571428571429,25.0,0.0,20.0,3.0,per_family,B1+B2lean,False,,,,,,False,,
phase_or/per_family/B1+B2lean,48,0.1103485025970159,0.15458821936154124,0.06610878583249051,0.7194831260962176,24.0,24.0,1.0,0.9629629629629629,0.9285714285714286,26.0,1.0,19.0,2.0,per_family,B1+B2lean,False,,,,,,True,1-5-anchor,1.0
