subset,family,in_panel,anchor_proxy,anchor_band,anchor_mIoU,selected_round,selected_proxy,selected_mIoU,delta_proxy,delta_mIoU,refined,gt_good,selection_reason
1-1,staggered,True,0.6067,refine,0.787,round1,0.6278,0.784,0.0211,-0.003,True,True,best proxy 0.6278; 2 within 0.01 margin; residual tiebreak -> round1
1-2,staggered,True,0.6478,refine,0.821,round1,0.701,0.825,0.0531,0.004,True,True,best proxy 0.7010; 1 within 0.01 margin; residual tiebreak -> round1
1-3,staggered,True,0.5501,refine,0.779,round1,0.6798,0.825,0.1296,0.046,True,True,best proxy 0.6798; 1 within 0.01 margin; residual tiebreak -> round1
1-4,staggered,True,0.6463,refine,0.556,round1,0.7144,0.826,0.0681,0.27,True,False,best proxy 0.7144; 3 within 0.01 margin; residual tiebreak -> round1
1-5,staggered,True,0.5551,refine,0.549,round3,0.6575,0.693,0.1024,0.144,True,False,best proxy 0.6575; 1 within 0.01 margin; residual tiebreak -> round3
2-2,staggered,True,0.6991,refine,0.673,round1,0.7573,0.843,0.0581,0.17,True,False,best proxy 0.7573; 1 within 0.01 margin; residual tiebreak -> round1
2-3,staggered,False,0.7463384308778203,accept,0.8,anchor,0.7463384308778203,0.8,0.0,0.0,False,True,not refined (out of band or missing selection)
2-4,staggered,True,0.6763,refine,0.835,round1,0.7089,0.816,0.0326,-0.019,True,True,best proxy 0.7089; 2 within 0.01 margin; residual tiebreak -> round1
2-5,staggered,False,0.723479373550679,accept,0.886,anchor,0.723479373550679,0.886,0.0,0.0,False,True,not refined (out of band or missing selection)
3-10,continuous,True,0.5887,refine,0.853,anchor,0.5887,0.853,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-2,continuous,False,0.4536534034557882,reject,0.631,anchor,0.4536534034557882,0.631,0.0,0.0,False,False,not refined (out of band or missing selection)
3-3,continuous,True,0.5216,refine,0.808,anchor,0.5216,0.808,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-4,continuous,True,0.5197,refine,0.622,anchor,0.5197,0.622,0.0,0.0,False,False,monotone accept: no round beat anchor scaled proxy
3-5,continuous,False,0.4388163486480276,reject,0.588,anchor,0.4388163486480276,0.588,0.0,0.0,False,False,not refined (out of band or missing selection)
3-6,continuous,True,0.6814,refine,0.836,round2,0.7254,0.835,0.0441,-0.001,True,True,best proxy 0.7254; 1 within 0.01 margin; residual tiebreak -> round2
3-7,continuous,True,0.5397,refine,0.845,anchor,0.5397,0.845,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-8,continuous,True,0.5613,refine,0.723,anchor,0.5613,0.723,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-9,continuous,True,0.6413,refine,0.82,anchor,0.6413,0.82,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
4-1,complex,True,0.5518,refine,0.635,round1,0.6208,0.653,0.069,0.018,True,False,best proxy 0.6208; 1 within 0.01 margin; residual tiebreak -> round1
4-2,complex,True,0.5435,refine,0.734,round2,0.687,0.773,0.1435,0.039,True,True,best proxy 0.6870; 1 within 0.01 margin; residual tiebreak -> round2
4-3,complex,True,0.5202,refine,0.516,round3,0.5915,0.54,0.0713,0.024,True,False,best proxy 0.5915; 1 within 0.01 margin; residual tiebreak -> round3
4-4,complex,False,0.4530978340507981,reject,0.347,anchor,0.4530978340507981,0.347,0.0,0.0,False,False,not refined (out of band or missing selection)
4-5,complex,True,0.6094,refine,0.75,round1,0.6389,0.775,0.0295,0.025,True,True,best proxy 0.6389; 1 within 0.01 margin; residual tiebreak -> round1
5-2,complex,True,0.6829,refine,0.793,round2,0.7031,0.781,0.0202,-0.012,True,True,best proxy 0.7031; 1 within 0.01 margin; residual tiebreak -> round2
5-3,complex,True,0.6807,refine,0.762,anchor,0.6807,0.762,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
5-4,complex,True,0.6923,refine,0.76,anchor,0.6923,0.76,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
5-5,complex,True,0.6098,refine,0.775,round2,0.6677,0.77,0.0579,-0.005,True,True,best proxy 0.6677; 2 within 0.01 margin; residual tiebreak -> round2
