subset,family,arm,in_panel,anchor_proxy,anchor_band,anchor_mIoU,selected_round,selected_proxy,selected_mIoU,delta_proxy,delta_mIoU,refined,gt_good,selection_reason
1-1,staggered,fable,True,0.6067,refine,0.787,round1,0.6294,0.79,0.0227,0.003,True,True,best proxy 0.6294; 2 within 0.01 margin; residual tiebreak -> round1
1-2,staggered,fable,True,0.6478,refine,0.821,round2,0.7137,0.819,0.0659,-0.002,True,True,best proxy 0.7137; 2 within 0.01 margin; residual tiebreak -> round2
1-3,staggered,fable,True,0.5501,refine,0.779,round3,0.6798,0.825,0.1296,0.046,True,True,best proxy 0.6798; 1 within 0.01 margin; residual tiebreak -> round3
1-4,staggered,fable,True,0.6463,refine,0.556,round2,0.7224,0.578,0.0761,0.022,True,False,best proxy 0.7224; 3 within 0.01 margin; residual tiebreak -> round2
1-5,staggered,fable,True,0.5551,refine,0.549,round3,0.6837,0.892,0.1285,0.343,True,False,best proxy 0.6837; 1 within 0.01 margin; residual tiebreak -> round3
2-2,staggered,fable,True,0.6991,refine,0.673,round2,0.7573,0.843,0.0581,0.17,True,False,best proxy 0.7573; 1 within 0.01 margin; residual tiebreak -> round2
2-3,staggered,fable,False,0.7463384308778203,accept,0.8,anchor,0.7463384308778203,0.8,0.0,0.0,False,True,not refined (out of band or missing selection)
2-4,staggered,fable,True,0.6763,refine,0.835,round3,0.7089,0.816,0.0326,-0.019,True,True,best proxy 0.7089; 2 within 0.01 margin; residual tiebreak -> round3
2-5,staggered,fable,False,0.723479373550679,accept,0.886,anchor,0.723479373550679,0.886,0.0,0.0,False,True,not refined (out of band or missing selection)
3-10,continuous,fable,True,0.5887,refine,0.853,anchor,0.5887,0.853,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-2,continuous,fable,False,0.4537,reject,0.631,round3,0.4684,0.749,0.0147,0.118,True,False,best proxy 0.4730; 2 within 0.01 margin; residual tiebreak -> round3
3-3,continuous,fable,True,0.5216,refine,0.808,anchor,0.5216,0.808,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-4,continuous,fable,True,0.5197,refine,0.622,anchor,0.5197,0.622,0.0,0.0,False,False,monotone accept: no round beat anchor scaled proxy
3-5,continuous,fable,False,0.4388,reject,0.588,round1,0.6712,0.87,0.2324,0.282,True,False,best proxy 0.6712; 2 within 0.01 margin; residual tiebreak -> round1
3-6,continuous,fable,True,0.6814,refine,0.836,round2,0.7254,0.835,0.0441,-0.001,True,True,best proxy 0.7254; 1 within 0.01 margin; residual tiebreak -> round2
3-7,continuous,fable,True,0.5397,refine,0.845,anchor,0.5397,0.845,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-8,continuous,fable,True,0.5613,refine,0.723,round3,0.5897,0.717,0.0284,-0.006,True,True,best proxy 0.5897; 1 within 0.01 margin; residual tiebreak -> round3
3-9,continuous,fable,True,0.6413,refine,0.82,anchor,0.6413,0.82,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
4-1,complex,fable,True,0.5518,refine,0.635,round1,0.6208,0.653,0.069,0.018,True,False,best proxy 0.6208; 1 within 0.01 margin; residual tiebreak -> round1
4-2,complex,fable,True,0.5435,refine,0.734,round2,0.6847,0.773,0.1412,0.039,True,True,best proxy 0.6847; 1 within 0.01 margin; residual tiebreak -> round2
4-3,complex,fable,True,0.5202,refine,0.516,round2,0.5726,0.544,0.0524,0.028,True,False,best proxy 0.5726; 2 within 0.01 margin; residual tiebreak -> round2
4-4,complex,fable,False,0.4531,reject,0.347,round3,0.5156,0.368,0.0625,0.021,True,False,best proxy 0.5156; 2 within 0.01 margin; residual tiebreak -> round3
4-5,complex,fable,True,0.6094,refine,0.75,round2,0.6584,0.771,0.049,0.021,True,True,best proxy 0.6584; 1 within 0.01 margin; residual tiebreak -> round2
5-2,complex,fable,True,0.6829,refine,0.793,round2,0.7005,0.781,0.0176,-0.012,True,True,best proxy 0.7005; 1 within 0.01 margin; residual tiebreak -> round2
5-3,complex,fable,True,0.6807,refine,0.762,anchor,0.6807,0.762,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
5-4,complex,fable,True,0.6923,refine,0.76,anchor,0.6923,0.76,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
5-5,complex,fable,True,0.6098,refine,0.775,round2,0.7038,0.781,0.094,0.006,True,True,best proxy 0.7038; 1 within 0.01 margin; residual tiebreak -> round2
