subset,family,arm,in_panel,anchor_proxy,anchor_band,anchor_mIoU,selected_round,selected_proxy,selected_mIoU,delta_proxy,delta_mIoU,refined,gt_good,selection_reason
1-1,staggered,random,True,0.6067,refine,0.787,round3,0.6362,0.791,0.0295,0.004,True,True,best proxy 0.6362; 1 within 0.01 margin; residual tiebreak -> round3
1-2,staggered,random,True,0.6478,refine,0.821,round1,0.6536,0.825,0.0057,0.004,True,True,best proxy 0.6536; 2 within 0.01 margin; residual tiebreak -> round1
1-3,staggered,random,True,0.5501,refine,0.779,round1,0.5875,0.786,0.0374,0.007,True,True,best proxy 0.5875; 1 within 0.01 margin; residual tiebreak -> round1
1-4,staggered,random,True,0.6463,refine,0.556,round2,0.6994,0.811,0.053,0.255,True,False,best proxy 0.6994; 1 within 0.01 margin; residual tiebreak -> round2
1-5,staggered,random,True,0.5551,refine,0.549,round3,0.639,0.867,0.0839,0.318,True,False,best proxy 0.6390; 2 within 0.01 margin; residual tiebreak -> round3
2-2,staggered,random,True,0.6991,refine,0.673,round1,0.709,0.592,0.0098,-0.081,True,False,best proxy 0.7090; 1 within 0.01 margin; residual tiebreak -> round1
2-3,staggered,random,False,0.7463384308778203,accept,0.8,anchor,0.7463384308778203,0.8,0.0,0.0,False,True,not refined (out of band or missing selection)
2-4,staggered,random,True,0.6763,refine,0.835,round3,0.7009,0.784,0.0245,-0.051,True,True,best proxy 0.7009; 2 within 0.01 margin; residual tiebreak -> round3
2-5,staggered,random,False,0.723479373550679,accept,0.886,anchor,0.723479373550679,0.886,0.0,0.0,False,True,not refined (out of band or missing selection)
3-10,continuous,random,True,0.5887,refine,0.853,anchor,0.5887,0.853,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-2,continuous,random,False,0.4536534034557882,reject,0.631,anchor,0.4536534034557882,0.631,0.0,0.0,False,False,not refined (out of band or missing selection)
3-3,continuous,random,True,0.5216,refine,0.808,round2,0.5229,0.691,0.0013,-0.117,True,True,best proxy 0.5229; 1 within 0.01 margin; residual tiebreak -> round2
3-4,continuous,random,True,0.5197,refine,0.622,anchor,0.5197,0.622,0.0,0.0,False,False,monotone accept: no round beat anchor scaled proxy
3-5,continuous,random,False,0.4388163486480276,reject,0.588,anchor,0.4388163486480276,0.588,0.0,0.0,False,False,not refined (out of band or missing selection)
3-6,continuous,random,True,0.6814,refine,0.836,round2,0.7118,0.805,0.0305,-0.031,True,True,best proxy 0.7118; 1 within 0.01 margin; residual tiebreak -> round2
3-7,continuous,random,True,0.5397,refine,0.845,round1,0.5418,0.814,0.0021,-0.031,True,True,best proxy 0.5418; 1 within 0.01 margin; residual tiebreak -> round1
3-8,continuous,random,True,0.5613,refine,0.723,anchor,0.5613,0.723,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-9,continuous,random,True,0.6413,refine,0.82,anchor,0.6413,0.82,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
4-1,complex,random,True,0.5518,refine,0.635,round2,0.5928,0.66,0.0409,0.025,True,False,best proxy 0.5928; 1 within 0.01 margin; residual tiebreak -> round2
4-2,complex,random,True,0.5435,refine,0.734,round1,0.6336,0.738,0.0901,0.004,True,True,best proxy 0.6336; 2 within 0.01 margin; residual tiebreak -> round1
4-3,complex,random,True,0.5202,refine,0.516,anchor,0.5202,0.516,0.0,0.0,False,False,monotone accept: no round beat anchor scaled proxy
4-4,complex,random,False,0.4530978340507981,reject,0.347,anchor,0.4530978340507981,0.347,0.0,0.0,False,False,not refined (out of band or missing selection)
4-5,complex,random,True,0.6094,refine,0.75,anchor,0.6094,0.75,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
5-2,complex,random,True,0.6829,refine,0.793,round1,0.6855,0.793,0.0026,0.0,True,True,best proxy 0.6855; 2 within 0.01 margin; residual tiebreak -> round1
5-3,complex,random,True,0.6807,refine,0.762,round2,0.6808,0.762,0.0001,0.0,True,True,best proxy 0.6808; 1 within 0.01 margin; residual tiebreak -> round2
5-4,complex,random,True,0.6923,refine,0.76,round1,0.7149,0.752,0.0225,-0.008,True,True,best proxy 0.7149; 1 within 0.01 margin; residual tiebreak -> round1
5-5,complex,random,True,0.6098,refine,0.775,round3,0.667,0.794,0.0572,0.019,True,True,best proxy 0.6670; 1 within 0.01 margin; residual tiebreak -> round3
