region,n,cases,n_refined,n_miou_up,n_miou_down,mean_a_miou,mean_s_miou,delta_mean,mean_delta,median_delta,mean_delta_proxy,frac_improved,delta_when_refined
"A: manuscript PoC (proxy∈[0.5,0.7] ∩ GT∈[0.5,0.7])",6,"1-4, 1-5, 2-2, 3-4, 4-1, 4-3",4.0,3.0,1.0,0.5918333333333333,0.6779999999999999,0.08616666666666661,0.08616666666666666,0.0125,0.031266666666666665,0.5,0.12924999999999998
"B: proxy refine ∩ GT-good (proxy∈[0.5,0.7] ∩ GT≥0.7)",16,"1-1, 1-2, 1-3, 2-4, 3-10, 3-3, 3-6, 3-7, 3-8, 3-9, 4-2, 4-5, 5-2, 5-3, 5-4, 5-5",12.0,5.0,5.0,0.7925625000000001,0.7800624999999999,-0.012500000000000178,-0.0125,0.0,0.01896875,0.3125,-0.01666666666666667
"C: proxy refine ∩ GT-low (proxy∈[0.5,0.7] ∩ GT<0.5)",0,,,,,,,,,,,,
"D: all label-free refine panel (proxy∈[0.5,0.7])",22,"1-1, 1-2, 1-3, 1-4, 1-5, 2-2, 2-4, 3-10, 3-3, 3-4, 3-6, 3-7, 3-8, 3-9, 4-1, 4-2, 4-3, 4-5, 5-2, 5-3, 5-4, 5-5",16.0,8.0,6.0,0.7378181818181818,0.7522272727272727,0.014409090909090927,0.01440909090909091,0.0,0.022322727272727272,0.36363636363636365,0.019812500000000004
"E: mid-proxy / mid-GT tight (proxy∈[0.55,0.65] ∩ GT∈[0.5,0.7])",3,"1-4, 1-5, 4-1",3.0,3.0,0.0,0.58,0.7793333333333333,0.19933333333333336,0.19933333333333333,0.255,0.05926666666666666,1.0,0.19933333333333333
"F: high-proxy edge of band (proxy∈[0.65,0.7])",6,"2-2, 2-4, 3-6, 5-2, 5-3, 5-4",6.0,0.0,4.0,0.7765,0.7480000000000001,-0.02849999999999986,-0.0285,-0.0195,0.015,0.0,-0.0285
"G: low-proxy edge of band (proxy∈[0.5,0.55])",5,"3-3, 3-4, 3-7, 4-2, 4-3",3.0,1.0,2.0,0.7050000000000001,0.6761999999999999,-0.02880000000000016,-0.028800000000000003,0.0,0.0187,0.2,-0.04800000000000001
H: reject band (proxy<0.5) — not refined,3,"3-2, 3-5, 4-4",0.0,0.0,0.0,0.5219999999999999,0.5219999999999999,0.0,0.0,0.0,0.0,0.0,
I: accept band (proxy≥0.7) — not refined,2,"2-3, 2-5",0.0,0.0,0.0,0.843,0.843,0.0,0.0,0.0,0.0,0.0,
J: paper nine (legacy definition),9,"1-4, 1-5, 2-2, 3-2, 3-4, 3-5, 4-1, 4-3, 4-4",4.0,3.0,1.0,0.5685555555555555,0.626,0.05744444444444452,0.05744444444444444,0.0,0.020844444444444443,0.3333333333333333,0.12924999999999998
K: paper nine ∩ in this run's panel,6,"1-4, 1-5, 2-2, 3-4, 4-1, 4-3",4.0,3.0,1.0,0.5918333333333333,0.6779999999999999,0.08616666666666661,0.08616666666666666,0.0125,0.031266666666666665,0.5,0.12924999999999998
