split,trial_id,family,path,ring_count,ring_count_source,ring_count_error,replay_prompt_match,replay_max_dx,replay_max_dy,replay_type_match,labelmap_source,labelmap_coverage_known,labelmap_coverage_filled,elapsed_s
train,2-1-s000,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s000,9,log,1.0,True,0.0,0.0,1.0,results.pkl,0.8667693909222125,0.8667693909222125,1.19
train,2-1-s001,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s001,10,log,0.0,True,2.2737367544323206e-13,0.0,1.0,results.pkl,0.9589867564293402,0.9589867564293402,1.13
train,2-1-s002,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s002,10,log,0.0,True,2.2737367544323206e-13,0.0,1.0,results.pkl,0.92353813031544,0.92353813031544,1.12
train,2-1-s003,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s003,11,log,1.0,True,1.1368683772161603e-13,0.0,1.0,results.pkl,0.9024017355990155,0.9024017355990155,1.23
train,2-1-s004,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s004,10,log,0.0,True,2.2737367544323206e-13,2.2737367544323206e-13,1.0,results.pkl,0.9403660213910419,0.9403660213910419,1.23
train,2-1-s005,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s005,11,log,1.0,True,0.0,2.2737367544323206e-13,1.0,results.pkl,0.9529470775441766,0.9529470775441766,1.19
train,2-1-s006,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s006,9,log,1.0,True,2.2737367544323206e-13,0.0,1.0,results.pkl,0.7786510066309236,0.7786510066309236,1.09
train,2-1-s007,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s007,11,log,1.0,True,0.0,0.0,1.0,results.pkl,0.9130386721366937,0.9130386721366937,1.22
train,2-1-s008,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s008,10,log,0.0,True,2.2737367544323206e-13,2.2737367544323206e-13,1.0,results.pkl,0.9490706633749172,0.9490706633749172,1.19
train,2-1-s009,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s009,11,log,1.0,True,0.0,7.105427357601002e-15,1.0,results.pkl,0.779577451109466,0.779577451109466,1.21
train,2-1-s010,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s010,9,log,1.0,True,5.684341886080802e-14,2.2737367544323206e-13,1.0,results.pkl,0.8669984934715896,0.8669984934715896,1.13
train,2-1-s011,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s011,10,log,0.0,True,0.0,0.0,1.0,results.pkl,0.9680759991264468,0.9680759991264468,1.23
train,2-1-s012,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s012,9,log,1.0,True,5.684341886080802e-14,2.2737367544323206e-13,1.0,results.pkl,0.8476572334374562,0.8476572334374562,1.13
train,2-1-s013,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s013,11,log,1.0,True,4.547473508864641e-13,4.547473508864641e-13,1.0,results.pkl,0.8771624086011577,0.8771624086011577,1.2
train,2-1-s014,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s014,10,log,0.0,True,0.0,0.0,1.0,results.pkl,0.9534567639439719,0.9534567639439719,1.2
train,2-1-s015,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s015,11,log,1.0,True,4.547473508864641e-13,2.2737367544323206e-13,1.0,results.pkl,0.907268680195518,0.907268680195518,1.23
train,2-1-s016,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s016,10,log,0.0,True,0.0,1.1368683772161603e-13,1.0,results.pkl,0.9083082509884266,0.9083082509884266,1.17
train,2-1-s017,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s017,11,log,1.0,True,4.547473508864641e-13,2.2737367544323206e-13,1.0,results.pkl,0.9373252113136082,0.9373252113136082,1.2
train,2-1-s018,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s018,9,log,1.0,True,5.684341886080802e-14,2.2737367544323206e-13,1.0,results.pkl,0.8559153077442886,0.8559153077442886,1.14
train,2-1-s019,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s019,11,log,1.0,True,4.547473508864641e-13,2.2737367544323206e-13,1.0,results.pkl,0.9409431527303139,0.9409431527303139,1.21
train,2-1-s020,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s020,9,log,1.0,True,2.2737367544323206e-13,2.2737367544323206e-13,1.0,results.pkl,0.7805609002727552,0.7805609002727552,1.14
train,2-1-s021,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s021,10,log,0.0,True,2.2737367544323206e-13,2.2737367544323206e-13,1.0,results.pkl,0.9581079417083431,0.9581079417083431,1.18
train,2-1-s022,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s022,10,log,0.0,True,2.2737367544323206e-13,2.2737367544323206e-13,1.0,results.pkl,0.9582370205297386,0.9582370205297386,1.19
train,2-1-s023,staggered,/home/boringtao/Projects/Proxy4Tun/data/bo-bayes/2-1-trials/runs/2-1-s023,11,log,1.0,True,1.1368683772161603e-13,2.2737367544323206e-13,1.0,results.pkl,0.8937352966021771,0.8937352966021771,1.11
