subset,proxy,f1,fill,nan,resid,fallback,real,ont,unlocked
1-3,0.55,0.187,0.733,0.109,1.4,0.1,0.9,0.251,False
1-5,0.555,0.201,0.729,0.118,2.5,0.2,0.8,0.193,False
1-1,0.607,0.294,0.723,0.107,2.8,0.3,0.7,0.212,False
1-4,0.646,0.395,0.699,0.15,1.9,0.3,0.7,0.275,False
1-2,0.648,0.368,0.723,0.102,3.5,0.2,0.8,0.24,False
2-4,0.676,0.412,0.745,0.109,1.7,0.1,0.9,0.226,False
2-2,0.699,0.455,0.743,0.111,1.5,0.1,0.9,0.165,False
3-4,0.52,0.244,0.571,0.195,20.8,1.0,0.0,0.192,True
3-3,0.522,0.113,0.78,0.114,2.7,1.0,0.0,0.25,False
3-7,0.54,0.172,0.767,0.165,3.6,1.0,0.0,0.248,False
3-8,0.561,0.302,0.597,0.182,24.0,1.0,0.0,0.199,True
3-10,0.589,0.287,0.698,0.142,10.2,1.0,0.0,0.224,True
3-9,0.641,0.364,0.729,0.131,2.8,1.0,0.0,0.212,False
3-6,0.681,0.467,0.649,0.105,3.2,1.0,0.0,0.201,False
4-3,0.52,0.191,0.717,0.245,23.2,0.4,0.6,0.101,True
4-2,0.544,0.213,0.732,0.209,2.0,0.4,0.6,0.118,False
4-1,0.552,0.225,0.749,0.223,2.4,0.6,0.4,0.102,False
4-5,0.609,0.334,0.735,0.216,3.4,0.4,0.6,0.103,False
5-5,0.61,0.316,0.756,0.193,1.9,0.2,0.8,0.109,False
5-3,0.681,0.459,0.737,0.201,3.5,0.3,0.7,0.097,False
5-2,0.683,0.453,0.751,0.194,2.1,0.4,0.6,0.137,False
5-4,0.692,0.467,0.76,0.198,2.1,0.3,0.7,0.142,False
