subset,family,arm,in_panel,anchor_proxy,anchor_band,anchor_mIoU,selected_round,selected_proxy,selected_mIoU,delta_proxy,delta_mIoU,refined,gt_good,selection_reason
1-1,staggered,gpt56,True,0.6067,refine,0.787,anchor,0.6067,0.787,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
1-2,staggered,gpt56,True,0.6478,refine,0.821,anchor,0.6478,0.821,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
1-3,staggered,gpt56,True,0.5501,refine,0.779,round3,0.5704,0.78,0.0202,0.001,True,True,best proxy 0.5704; 1 within 0.01 margin; residual tiebreak -> round3
1-4,staggered,gpt56,True,0.6463,refine,0.556,round2,0.6883,0.809,0.042,0.253,True,False,best proxy 0.6883; 2 within 0.01 margin; residual tiebreak -> round2
1-5,staggered,gpt56,True,0.5551,refine,0.549,round3,0.6098,0.887,0.0547,0.338,True,False,best proxy 0.6098; 1 within 0.01 margin; residual tiebreak -> round3
2-2,staggered,gpt56,True,0.6991,refine,0.673,round2,0.7124,0.672,0.0132,-0.001,True,False,best proxy 0.7124; 2 within 0.01 margin; residual tiebreak -> round2
2-3,staggered,gpt56,False,0.7463384308778203,accept,0.8,anchor,0.7463384308778203,0.8,0.0,0.0,False,True,not refined (out of band or missing selection)
2-4,staggered,gpt56,True,0.6763,refine,0.835,round3,0.6865,0.776,0.0102,-0.059,True,True,best proxy 0.6865; 1 within 0.01 margin; residual tiebreak -> round3
2-5,staggered,gpt56,False,0.723479373550679,accept,0.886,anchor,0.723479373550679,0.886,0.0,0.0,False,True,not refined (out of band or missing selection)
3-10,continuous,gpt56,True,0.5887,refine,0.853,anchor,0.5887,0.853,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-2,continuous,gpt56,False,0.4536534034557882,reject,0.631,anchor,0.4536534034557882,0.631,0.0,0.0,False,False,not refined (out of band or missing selection)
3-3,continuous,gpt56,True,0.5216,refine,0.808,round1,0.5255,0.806,0.0039,-0.002,True,True,best proxy 0.5255; 1 within 0.01 margin; residual tiebreak -> round1
3-4,continuous,gpt56,True,0.5197,refine,0.622,round3,0.5353,0.627,0.0156,0.005,True,False,best proxy 0.5353; 1 within 0.01 margin; residual tiebreak -> round3
3-5,continuous,gpt56,False,0.4388163486480276,reject,0.588,anchor,0.4388163486480276,0.588,0.0,0.0,False,False,not refined (out of band or missing selection)
3-6,continuous,gpt56,True,0.6814,refine,0.836,round3,0.7068,0.837,0.0255,0.001,True,True,best proxy 0.7068; 1 within 0.01 margin; residual tiebreak -> round3
3-7,continuous,gpt56,True,0.5397,refine,0.845,anchor,0.5397,0.845,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-8,continuous,gpt56,True,0.5613,refine,0.723,anchor,0.5613,0.723,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
3-9,continuous,gpt56,True,0.6413,refine,0.82,anchor,0.6413,0.82,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
4-1,complex,gpt56,True,0.5518,refine,0.635,round2,0.6595,0.652,0.1077,0.017,True,False,best proxy 0.6595; 1 within 0.01 margin; residual tiebreak -> round2
4-2,complex,gpt56,True,0.5435,refine,0.734,round1,0.6528,0.643,0.1093,-0.091,True,True,best proxy 0.6528; 1 within 0.01 margin; residual tiebreak -> round1
4-3,complex,gpt56,True,0.5202,refine,0.516,round1,0.5265,0.515,0.0063,-0.001,True,False,best proxy 0.5265; 1 within 0.01 margin; residual tiebreak -> round1
4-4,complex,gpt56,False,0.4530978340507981,reject,0.347,anchor,0.4530978340507981,0.347,0.0,0.0,False,False,not refined (out of band or missing selection)
4-5,complex,gpt56,True,0.6094,refine,0.75,round1,0.6471,0.777,0.0378,0.027,True,True,best proxy 0.6471; 1 within 0.01 margin; residual tiebreak -> round1
5-2,complex,gpt56,True,0.6829,refine,0.793,round1,0.6904,0.792,0.0075,-0.001,True,True,best proxy 0.6904; 1 within 0.01 margin; residual tiebreak -> round1
5-3,complex,gpt56,True,0.6807,refine,0.762,anchor,0.6807,0.762,0.0,0.0,False,True,monotone accept: no round beat anchor scaled proxy
5-4,complex,gpt56,True,0.6923,refine,0.76,round1,0.7103,0.759,0.018,-0.001,True,True,best proxy 0.7103; 1 within 0.01 margin; residual tiebreak -> round1
5-5,complex,gpt56,True,0.6098,refine,0.775,round1,0.6411,0.771,0.0314,-0.004,True,True,best proxy 0.6411; 1 within 0.01 margin; residual tiebreak -> round1
