region,n,cases,n_refined,n_miou_up,n_miou_down,mean_a_miou,mean_s_miou,delta_mean,mean_delta,median_delta,mean_delta_proxy,frac_improved,delta_when_refined
"A: manuscript PoC (proxy∈[0.5,0.7] ∩ GT∈[0.5,0.7])",6,"1-4, 1-5, 2-2, 3-4, 4-1, 4-3",5.0,5.0,0.0,0.5918333333333333,0.6961666666666666,0.10433333333333328,0.10433333333333335,0.08399999999999999,0.061483333333333334,0.8333333333333334,0.12520000000000003
"B: proxy refine ∩ GT-good (proxy∈[0.5,0.7] ∩ GT≥0.7)",16,"1-1, 1-2, 1-3, 2-4, 3-10, 3-3, 3-6, 3-7, 3-8, 3-9, 4-2, 4-5, 5-2, 5-3, 5-4, 5-5",9.0,4.0,5.0,0.7925625000000001,0.7971874999999999,0.004624999999999879,0.004625,0.0,0.033225,0.25,0.008222222222222221
"C: proxy refine ∩ GT-low (proxy∈[0.5,0.7] ∩ GT<0.5)",0,,,,,,,,,,,,
"D: all label-free refine panel (proxy∈[0.5,0.7])",22,"1-1, 1-2, 1-3, 1-4, 1-5, 2-2, 2-4, 3-10, 3-3, 3-4, 3-6, 3-7, 3-8, 3-9, 4-1, 4-2, 4-3, 4-5, 5-2, 5-3, 5-4, 5-5",14.0,9.0,5.0,0.7378181818181818,0.7696363636363638,0.03181818181818197,0.031818181818181815,0.0,0.04093181818181818,0.4090909090909091,0.05
"E: mid-proxy / mid-GT tight (proxy∈[0.55,0.65] ∩ GT∈[0.5,0.7])",3,"1-4, 1-5, 4-1",3.0,3.0,0.0,0.58,0.7239999999999999,0.1439999999999999,0.14400000000000002,0.144,0.07983333333333333,1.0,0.14400000000000002
"F: high-proxy edge of band (proxy∈[0.65,0.7])",6,"2-2, 2-4, 3-6, 5-2, 5-3, 5-4",4.0,1.0,3.0,0.7765,0.7995,0.02300000000000002,0.023000000000000003,-0.0005,0.025833333333333333,0.16666666666666666,0.0345
"G: low-proxy edge of band (proxy∈[0.5,0.55])",5,"3-3, 3-4, 3-7, 4-2, 4-3",2.0,2.0,0.0,0.7050000000000001,0.7176000000000001,0.012600000000000056,0.0126,0.0,0.04296,0.4,0.0315
H: reject band (proxy<0.5) — not refined,3,"3-2, 3-5, 4-4",0.0,0.0,0.0,0.5219999999999999,0.5219999999999999,0.0,0.0,0.0,0.0,0.0,
I: accept band (proxy≥0.7) — not refined,2,"2-3, 2-5",0.0,0.0,0.0,0.843,0.843,0.0,0.0,0.0,0.0,0.0,
J: paper nine (legacy definition),9,"1-4, 1-5, 2-2, 3-2, 3-4, 3-5, 4-1, 4-3, 4-4",5.0,5.0,0.0,0.5685555555555555,0.6381111111111112,0.0695555555555557,0.06955555555555556,0.018,0.04098888888888889,0.5555555555555556,0.12520000000000003
K: paper nine ∩ in this run's panel,6,"1-4, 1-5, 2-2, 3-4, 4-1, 4-3",5.0,5.0,0.0,0.5918333333333333,0.6961666666666666,0.10433333333333328,0.10433333333333335,0.08399999999999999,0.061483333333333334,0.8333333333333334,0.12520000000000003
