region,n,cases,n_refined,n_miou_up,n_miou_down,mean_a_miou,mean_s_miou,delta_mean,mean_delta,median_delta,mean_delta_proxy,frac_improved,delta_when_refined
"A: manuscript PoC (proxy∈[0.5,0.7] ∩ GT∈[0.5,0.7])",6,"1-4, 1-5, 2-2, 3-4, 4-1, 4-3",6.0,4.0,2.0,0.5918333333333333,0.6936666666666667,0.10183333333333333,0.10183333333333333,0.011000000000000001,0.03991666666666667,0.6666666666666666,0.10183333333333333
"B: proxy refine ∩ GT-good (proxy∈[0.5,0.7] ∩ GT≥0.7)",16,"1-1, 1-2, 1-3, 2-4, 3-10, 3-3, 3-6, 3-7, 3-8, 3-9, 4-2, 4-5, 5-2, 5-3, 5-4, 5-5",9.0,3.0,6.0,0.7925625000000001,0.7845,-0.008062500000000083,-0.0080625,0.0,0.0164875,0.1875,-0.014333333333333333
"C: proxy refine ∩ GT-low (proxy∈[0.5,0.7] ∩ GT<0.5)",0,,,,,,,,,,,,
"D: all label-free refine panel (proxy∈[0.5,0.7])",22,"1-1, 1-2, 1-3, 1-4, 1-5, 2-2, 2-4, 3-10, 3-3, 3-4, 3-6, 3-7, 3-8, 3-9, 4-1, 4-2, 4-3, 4-5, 5-2, 5-3, 5-4, 5-5",15.0,7.0,8.0,0.7378181818181818,0.7597272727272727,0.021909090909090878,0.02190909090909091,0.0,0.022877272727272732,0.3181818181818182,0.03213333333333333
"E: mid-proxy / mid-GT tight (proxy∈[0.55,0.65] ∩ GT∈[0.5,0.7])",3,"1-4, 1-5, 4-1",3.0,3.0,0.0,0.58,0.7826666666666667,0.20266666666666677,0.20266666666666666,0.253,0.06813333333333334,1.0,0.20266666666666666
"F: high-proxy edge of band (proxy∈[0.65,0.7])",6,"2-2, 2-4, 3-6, 5-2, 5-3, 5-4",5.0,1.0,4.0,0.7765,0.7663333333333333,-0.010166666666666657,-0.010166666666666666,-0.001,0.0124,0.16666666666666666,-0.012199999999999999
"G: low-proxy edge of band (proxy∈[0.5,0.55])",5,"3-3, 3-4, 3-7, 4-2, 4-3",4.0,1.0,3.0,0.7050000000000001,0.6872,-0.017800000000000038,-0.0178,-0.001,0.02702,0.2,-0.02225
H: reject band (proxy<0.5) — not refined,3,"3-2, 3-5, 4-4",0.0,0.0,0.0,0.5219999999999999,0.5219999999999999,0.0,0.0,0.0,0.0,0.0,
I: accept band (proxy≥0.7) — not refined,2,"2-3, 2-5",0.0,0.0,0.0,0.843,0.843,0.0,0.0,0.0,0.0,0.0,
J: paper nine (legacy definition),9,"1-4, 1-5, 2-2, 3-2, 3-4, 3-5, 4-1, 4-3, 4-4",6.0,4.0,2.0,0.5685555555555555,0.6364444444444444,0.06788888888888889,0.06788888888888889,0.0,0.02661111111111111,0.4444444444444444,0.10183333333333333
K: paper nine ∩ in this run's panel,6,"1-4, 1-5, 2-2, 3-4, 4-1, 4-3",6.0,4.0,2.0,0.5918333333333333,0.6936666666666667,0.10183333333333333,0.10183333333333333,0.011000000000000001,0.03991666666666667,0.6666666666666666,0.10183333333333333
