subset,family,parent,arm,anchor_proxy,anchor_mIoU,selected_round,selected_proxy,selected_mIoU,delta_mIoU,refined,gt_low,dual_band,n_proxy_admissible,n_gt_useful_of_admissible,n_rounds,regret,policy_start,policy_random_round,policy_round1,policy_max_proxy,policy_monotone,policy_oracle,recomputed_monotone,stored_matches_recompute
1-3,staggered,1,fable,0.5501,0.779,round3,0.6798,0.825,0.04599999999999993,True,False,False,3,2,3,0.03300000000000003,0.779,0.791,0.858,0.825,0.825,0.858,round3,True
1-5,staggered,1,fable,0.5551,0.549,round3,0.6837,0.892,0.34299999999999997,True,True,True,3,3,3,0.0,0.549,0.7120000000000001,0.56,0.892,0.892,0.892,round3,True
1-1,staggered,1,fable,0.6067,0.787,round1,0.6294,0.79,0.0030000000000000027,True,False,False,3,1,3,0.0,0.787,0.7806666666666667,0.79,0.79,0.79,0.79,round1,True
1-4,staggered,1,fable,0.6463,0.556,round2,0.7224,0.578,0.02199999999999991,True,True,True,3,3,3,0.279,0.556,0.7536666666666667,0.857,0.578,0.578,0.857,round2,True
1-2,staggered,1,fable,0.6478,0.821,round2,0.7137,0.819,-0.0020000000000000018,True,False,False,3,2,3,0.02300000000000002,0.821,0.8286666666666666,0.842,0.819,0.819,0.842,round2,True
2-4,staggered,2,fable,0.6763,0.835,round3,0.7089,0.816,-0.019000000000000017,True,False,False,3,0,3,0.019000000000000017,0.835,0.8079999999999999,0.82,0.816,0.816,0.835,round3,True
2-2,staggered,2,fable,0.6991,0.673,round2,0.7573,0.843,0.16999999999999993,True,True,True,3,3,3,0.007000000000000006,0.673,0.8456666666666667,0.844,0.843,0.843,0.85,round2,True
3-4,continuous,3,fable,0.5197,0.622,anchor,0.5197,0.622,0.0,False,True,True,0,0,3,0.0,0.622,0.46866666666666673,0.612,0.622,0.622,0.622,anchor,True
3-3,continuous,3,fable,0.5216,0.808,anchor,0.5216,0.808,0.0,False,False,False,0,0,3,0.0,0.808,0.7596666666666668,0.801,0.808,0.808,0.808,anchor,True
3-7,continuous,3,fable,0.5397,0.845,anchor,0.5397,0.845,0.0,False,False,False,0,0,3,0.0010000000000000009,0.845,0.805,0.846,0.845,0.845,0.846,anchor,True
3-8,continuous,3,fable,0.5613,0.723,round3,0.5897,0.717,-0.006000000000000005,True,False,False,1,0,3,0.006000000000000005,0.723,0.7113333333333333,0.723,0.717,0.717,0.723,round3,True
3-10,continuous,3,fable,0.5887,0.853,anchor,0.5887,0.853,0.0,False,False,False,0,0,3,0.0020000000000000018,0.853,0.8523333333333333,0.855,0.853,0.853,0.855,anchor,True
3-9,continuous,3,fable,0.6413,0.82,anchor,0.6413,0.82,0.0,False,False,False,0,0,3,0.0,0.82,0.7479999999999999,0.805,0.82,0.82,0.82,anchor,True
3-6,continuous,3,fable,0.6814,0.836,round2,0.7254,0.835,-0.0010000000000000009,True,False,False,1,0,3,0.0010000000000000009,0.836,0.7983333333333333,0.833,0.835,0.835,0.836,round2,True
4-3,complex,4,fable,0.5202,0.516,round2,0.5726,0.544,0.028000000000000025,True,True,True,3,3,3,0.010000000000000009,0.516,0.5473333333333333,0.554,0.544,0.544,0.554,round2,True
4-2,complex,4,fable,0.5435,0.734,round2,0.6847,0.773,0.039000000000000035,True,False,False,2,2,3,0.0030000000000000027,0.734,0.7363333333333334,0.776,0.773,0.773,0.776,round2,True
4-1,complex,4,fable,0.5518,0.635,round1,0.6208,0.653,0.018000000000000016,True,True,True,2,2,3,0.0,0.635,0.6446666666666667,0.653,0.653,0.653,0.653,round1,True
4-5,complex,4,fable,0.6094,0.75,round2,0.6584,0.771,0.02100000000000002,True,False,False,2,2,3,0.0040000000000000036,0.75,0.7656666666666667,0.775,0.771,0.771,0.775,round2,True
5-5,complex,5,fable,0.6098,0.775,round2,0.7038,0.781,0.006000000000000005,True,False,False,2,1,3,0.0,0.775,0.7623333333333333,0.768,0.781,0.781,0.781,round2,True
5-3,complex,5,fable,0.6807,0.762,anchor,0.6807,0.762,0.0,False,False,False,0,0,3,0.0,0.762,0.7316666666666668,0.735,0.762,0.762,0.762,anchor,True
5-2,complex,5,fable,0.6829,0.793,round2,0.7005,0.781,-0.01200000000000001,True,False,False,1,0,3,0.01200000000000001,0.793,0.7263333333333334,0.653,0.781,0.781,0.793,round2,True
5-4,complex,5,fable,0.6923,0.76,anchor,0.6923,0.76,0.0,False,False,False,0,0,3,0.0,0.76,0.7386666666666667,0.749,0.76,0.76,0.76,anchor,True
