subset,family,parent,arm,anchor_proxy,anchor_mIoU,selected_round,selected_proxy,selected_mIoU,delta_mIoU,refined,gt_low,dual_band,n_proxy_admissible,n_gt_useful_of_admissible,n_rounds,regret,policy_start,policy_random_round,policy_round1,policy_max_proxy,policy_monotone,policy_oracle,recomputed_monotone,stored_matches_recompute
1-3,staggered,1,random,0.5501,0.779,round1,0.5875,0.786,0.007000000000000006,True,False,False,1,1,3,0.0,0.779,0.2866666666666667,0.786,0.786,0.786,0.786,round1,True
1-5,staggered,1,random,0.5551,0.549,round3,0.639,0.867,0.31799999999999995,True,True,True,3,3,3,0.0,0.549,0.6779999999999999,0.615,0.867,0.867,0.867,round3,True
1-1,staggered,1,random,0.6067,0.787,round3,0.6362,0.791,0.0040000000000000036,True,False,False,1,1,3,0.01200000000000001,0.787,0.5433333333333333,0.036,0.791,0.791,0.803,round3,True
1-4,staggered,1,random,0.6463,0.556,round2,0.6994,0.811,0.255,True,True,True,2,2,3,0.006999999999999895,0.556,0.556,0.039,0.811,0.811,0.818,round2,True
1-2,staggered,1,random,0.6478,0.821,round1,0.6536,0.825,0.0040000000000000036,True,False,False,2,1,3,0.0,0.821,0.5546666666666666,0.825,0.825,0.825,0.825,round1,True
2-4,staggered,2,random,0.6763,0.835,round3,0.7009,0.784,-0.050999999999999934,True,False,False,2,0,3,0.050999999999999934,0.835,0.7949999999999999,0.831,0.784,0.784,0.835,round3,True
2-2,staggered,2,random,0.6991,0.673,round1,0.709,0.592,-0.08100000000000007,True,True,True,1,0,3,0.08100000000000007,0.673,0.22266666666666668,0.592,0.592,0.592,0.673,round1,True
3-4,continuous,3,random,0.5197,0.622,anchor,0.5197,0.622,0.0,False,True,True,0,0,3,0.02300000000000002,0.622,0.25433333333333336,0.046,0.622,0.622,0.645,anchor,True
3-3,continuous,3,random,0.5216,0.808,round2,0.5229,0.691,-0.1170000000000001,True,False,False,1,0,3,0.1170000000000001,0.808,0.727,0.737,0.691,0.691,0.808,round2,True
3-7,continuous,3,random,0.5397,0.845,round1,0.5418,0.814,-0.031000000000000028,True,False,False,1,0,3,0.031000000000000028,0.845,0.564,0.814,0.814,0.814,0.845,round1,True
3-8,continuous,3,random,0.5613,0.723,anchor,0.5613,0.723,0.0,False,False,False,0,0,3,0.0,0.723,0.48666666666666664,0.673,0.723,0.723,0.723,anchor,True
3-10,continuous,3,random,0.5887,0.853,anchor,0.5887,0.853,0.0,False,False,False,0,0,3,0.0,0.853,0.6493333333333333,0.748,0.853,0.853,0.853,anchor,True
3-9,continuous,3,random,0.6413,0.82,anchor,0.6413,0.82,0.0,False,False,False,0,0,3,0.0,0.82,0.29633333333333334,0.118,0.82,0.82,0.82,anchor,True
3-6,continuous,3,random,0.6814,0.836,round2,0.7118,0.805,-0.030999999999999917,True,False,False,1,0,3,0.030999999999999917,0.836,0.40066666666666667,0.114,0.805,0.805,0.836,round2,True
4-3,complex,4,random,0.5202,0.516,anchor,0.5202,0.516,0.0,False,True,True,0,0,3,0.0,0.516,0.3263333333333333,0.238,0.516,0.516,0.516,anchor,True
4-2,complex,4,random,0.5435,0.734,round1,0.6336,0.738,0.0040000000000000036,True,False,False,2,2,3,0.0,0.734,0.7303333333333333,0.738,0.738,0.738,0.738,round1,True
4-1,complex,4,random,0.5518,0.635,round2,0.5928,0.66,0.025000000000000022,True,True,True,3,3,3,0.0,0.635,0.6546666666666666,0.651,0.66,0.66,0.66,round2,True
4-5,complex,4,random,0.6094,0.75,anchor,0.6094,0.75,0.0,False,False,False,0,0,3,0.0020000000000000018,0.75,0.4306666666666667,0.107,0.75,0.75,0.752,anchor,True
5-5,complex,5,random,0.6098,0.775,round3,0.667,0.794,0.019000000000000017,True,False,False,1,1,3,0.0,0.775,0.5423333333333333,0.206,0.794,0.794,0.794,round3,True
5-3,complex,5,random,0.6807,0.762,round2,0.6808,0.762,0.0,True,False,False,1,0,3,0.0,0.762,0.5690000000000001,0.709,0.762,0.762,0.762,round2,True
5-2,complex,5,random,0.6829,0.793,round1,0.6855,0.793,0.0,True,False,False,2,0,3,0.0,0.793,0.7763333333333334,0.793,0.793,0.793,0.793,round1,True
5-4,complex,5,random,0.6923,0.76,round1,0.7149,0.752,-0.008000000000000007,True,False,False,1,0,3,0.008000000000000007,0.76,0.717,0.752,0.752,0.752,0.76,round1,True
